patient,timepoint,n_cells,max_h1,n_h1_features
pooled,TN,368,5.32337760925293,112
pooled,RD,1000,4.783166885375977,406
AZ003,TN,368,5.32337760925293,112
AZ003,RD,609,8.50213623046875,213
AZ005,RD,317,3.4295578002929688,99
AZ008,RD,609,7.766239166259766,230
AZ008_NAT,RD,600,4.310213088989258,181
